id,fish_name,betta_tail_type,number_of_colours,fish_length,origin,scale_cleanliness,fin_condition,competition_status
2220,Toby,Halfmoon,1,6.15,India,99.14,Good,Lose
2221,Demott,Crown,1,4.68,Thailand,91.29,Good,Win
2222,Suki,Plakat,4,6.56,India,30.97,Excellent,Lose
2223,Brandais,Rose,2,5.75,Thailand,55.58,Excellent,Win
2224,Steffen,Halfmoon,3,5.72,Thailand,72.61,Good,Win
2225,Tommy,Plakat,5,4.01,India,3.03,Untidy,Lose
2226,Ediva,Halfmoon,5,6.03,Thailand,57.7,Excellent,Win
2227,Bibbye,Rose,4,6.0,Thailand,52.82,Excellent,Win
2228,Philis,Crown,3,6.79,Thailand,5.58,Untidy,Lose
2229,Brand,Spade,3,6.47,India,11.59,Poor,Lose
2230,Gena,Halfmoon,4,6.24,India,3.09,Poor,Lose
2231,Kelwin,Rose,4,6.54,Indonesia,16.04,Untidy,Lose
2232,Hunfredo,Plakat,1,4.6,Vietnam,99.47,Excellent,Lose
2233,Rennie,Spade,2,6.27,Thailand,70.61,Good,Win
2234,Farra,Crown,2,5.05,Thailand,52.94,Untidy,Win
2235,Boyce,Halfmoon,4,6.08,Vietnam,73.08,Good,Win
2236,Elysia,Plakat,1,6.37,Indonesia,24.26,Poor,Lose
2237,Lothario,Crown,4,3.65,India,12.03,Excellent,Lose
2238,Madeline,Rose,5,3.87,Vietnam,17.19,Poor,Lose
2239,Ermentrude,Halfmoon,4,4.73,Thailand,87.39,Excellent,Win
2240,Clemmie,Spade,2,5.34,Thailand,80.12,Good,Win
2241,Jone,Plakat,2,4.62,India,69.02,Excellent,Win
2242,Martha,Crown,3,3.95,India,13.13,Untidy,Lose
2243,Land,Plakat,5,6.14,India,84.25,Excellent,Win
2244,Ariella,Spade,5,4.19,Vietnam,52.49,Excellent,Win
2245,Daryl,Spade,1,5.47,India,79.97,Excellent,Lose
2246,Laurens,Halfmoon,1,6.55,Indonesia,5.26,Poor,Lose
2247,Derron,Halfmoon,3,6.07,Thailand,97.06,Good,Win
2248,Sharia,Plakat,3,6.52,Indonesia,25.1,Poor,Lose
2249,Dieter,Spade,2,6.42,Thailand,51.57,Excellent,Win
2250,Mela,Plakat,3,7.0,Indonesia,27.36,Untidy,Lose
2251,Kliment,Plakat,3,3.99,Thailand,99.74,Untidy,Lose
2252,Karlee,Spade,4,6.73,India,35.46,Untidy,Lose
2253,Eddi,Rose,5,6.48,Indonesia,25.25,Poor,Lose
2254,Jermaine,Plakat,1,6.51,India,41.23,Poor,Lose
2255,Rayna,Crown,3,6.88,Thailand,83.02,Good,Win
2256,Mignon,Crown,5,6.38,Thailand,74.12,Excellent,Lose
2257,Archambault,Plakat,4,5.75,Thailand,81.91,Excellent,Win
2258,Mavra,Rose,3,6.48,Thailand,63.93,Good,Win
2259,Iris,Crown,4,6.38,Indonesia,34.81,Untidy,Win
2260,Elia,Rose,3,5.64,Thailand,52.03,Excellent,Win
2261,Cassey,Crown,4,3.71,India,26.68,Good,Lose
2262,Margeaux,Spade,5,6.79,Thailand,80.87,Excellent,Win
2263,Sherilyn,Crown,3,6.41,Vietnam,78.06,Excellent,Win
2264,Rainer,Halfmoon,1,6.66,Indonesia,10.79,Untidy,Lose
2265,Gawain,Plakat,2,6.47,India,12.06,Poor,Lose
2266,Pepita,Rose,3,6.27,Thailand,78.9,Good,Win
2267,Melony,Spade,5,3.55,India,52.78,Untidy,Lose
2268,Konstantin,Rose,3,4.11,Indonesia,96.22,Poor,Lose
2269,Daffie,Halfmoon,4,5.98,Thailand,91.73,Poor,Win
2270,Elvin,Rose,3,4.6,Vietnam,91.63,Good,Win
2271,Mallory,Plakat,4,6.06,Vietnam,77.57,Excellent,Win
2272,Cassey,Halfmoon,3,4.04,India,18.8,Poor,Lose
2273,Ursa,Halfmoon,2,6.59,Thailand,79.02,Excellent,Win
2274,Casandra,Rose,4,4.35,Thailand,37.78,Excellent,Win
2275,Nana,Spade,5,3.82,Indonesia,11.75,Poor,Lose
2276,Ariel,Rose,4,6.44,Vietnam,70.29,Good,Win
2277,Chen,Crown,4,5.5,Vietnam,48.12,Poor,Lose
2278,Elwin,Rose,3,6.67,Vietnam,68.43,Untidy,Win
2279,Ludovika,Spade,1,6.63,India,22.97,Untidy,Win
2280,Torey,Halfmoon,2,5.49,Thailand,62.09,Good,Win
2281,Theodora,Halfmoon,2,3.97,Indonesia,34.33,Good,Lose
2282,Curcio,Rose,2,6.95,Indonesia,25.17,Untidy,Lose
2283,Gordon,Crown,5,6.41,Indonesia,60.27,Untidy,Win
2284,Dede,Crown,2,5.26,Thailand,66.18,Good,Win
2285,Nikolaos,Rose,3,6.71,India,19.61,Poor,Lose
2286,Alida,Plakat,5,6.72,Vietnam,58.93,Good,Win
2287,Delphinia,Crown,2,6.56,Indonesia,24.33,Excellent,Win
2288,Emmie,Rose,5,6.64,Thailand,59.45,Excellent,Win
2289,Dredi,Crown,1,5.3,Vietnam,60.05,Good,Win
2290,Ab,Rose,5,6.65,India,64.02,Untidy,Win
2291,Bertrand,Crown,5,6.55,India,8.16,Untidy,Lose
2292,Quinton,Spade,3,3.58,India,32.87,Poor,Lose
2293,Dallas,Halfmoon,3,4.31,Indonesia,13.35,Poor,Lose
2294,Forbes,Crown,4,3.69,India,25.4,Poor,Lose
2295,Florella,Spade,3,3.87,Vietnam,46.8,Excellent,Lose
2296,Sebastian,Rose,5,5.61,Thailand,82.37,Excellent,Win
2297,Jock,Rose,1,7.04,Indonesia,12.2,Untidy,Lose
2298,Isac,Halfmoon,1,6.68,Vietnam,76.71,Poor,Win
2299,Jennee,Spade,4,4.88,Indonesia,40.2,Poor,Win
2300,Candy,Halfmoon,4,4.39,Vietnam,53.89,Good,Win
2301,Wrennie,Crown,1,6.56,Thailand,61.41,Excellent,Win
2302,Husein,Crown,5,4.11,Indonesia,24.56,Excellent,Lose
2303,Kurt,Crown,1,5.95,Thailand,78.72,Good,Win
2304,Son,Halfmoon,2,3.88,Indonesia,4.15,Untidy,Lose
2305,Sheilakathryn,Halfmoon,1,4.81,Vietnam,62.97,Poor,Win
2306,Maria,Plakat,4,4.51,Thailand,50.52,Excellent,Win
2307,Pincas,Rose,2,4.09,Indonesia,3.81,Untidy,Lose
2308,Ramonda,Spade,3,4.58,Vietnam,55.96,Poor,Win
2309,Darla,Rose,2,4.05,India,21.51,Poor,Lose
2310,Vivian,Plakat,5,6.75,Vietnam,56.31,Excellent,Win
2311,Clemmie,Halfmoon,3,6.63,India,1.42,Poor,Lose
2312,Patrick,Rose,4,4.97,Thailand,82.84,Good,Win
2313,Kai,Halfmoon,5,4.98,Indonesia,66.26,Excellent,Win
2314,Catie,Crown,1,6.2,Thailand,72.85,Good,Win
2315,Marnia,Plakat,1,3.91,Thailand,36.26,Good,Win
2316,Martin,Crown,3,4.16,Vietnam,56.07,Good,Win
2317,Elora,Plakat,3,5.54,Vietnam,98.84,Good,Win
2318,Carlie,Halfmoon,2,3.65,India,16.98,Poor,Lose
2319,Jackqueline,Halfmoon,5,5.44,Vietnam,55.12,Excellent,Win
2320,Nickey,Rose,1,6.67,India,13.06,Excellent,Lose
2321,Judi,Spade,5,5.99,Thailand,54.17,Untidy,Win
2322,Earle,Halfmoon,5,6.54,Indonesia,16.09,Poor,Lose
2323,Jenni,Halfmoon,4,6.68,India,0.15,Untidy,Lose
2324,Isador,Crown,4,6.37,Thailand,89.11,Good,Win
2325,Ariela,Halfmoon,2,7.04,Indonesia,22.36,Poor,Lose
2326,Kissee,Spade,5,5.05,Thailand,58.68,Excellent,Win
2327,Penny,Plakat,4,6.57,India,19.84,Untidy,Lose
2328,Aloise,Crown,4,3.96,Thailand,33.09,Untidy,Lose
2329,Juliet,Crown,2,6.29,Thailand,70.07,Excellent,Win
2330,Randie,Plakat,3,6.71,Thailand,60.88,Good,Win
2331,Estrellita,Plakat,4,6.33,Vietnam,62.39,Excellent,Win
2332,Niven,Plakat,3,6.86,India,49.41,Untidy,Lose
2333,Chlo,Crown,4,6.25,India,99.85,Excellent,Win
2334,Sheelagh,Halfmoon,2,6.32,Vietnam,85.42,Good,Win
2335,Ariana,Rose,1,3.6,Vietnam,16.67,Poor,Win
2336,Evelina,Halfmoon,1,6.4,Vietnam,75.4,Excellent,Win
2337,Alison,Crown,3,4.07,Thailand,57.57,Excellent,Win
2338,Morissa,Plakat,2,5.1,Vietnam,54.46,Good,Win
2339,Dannye,Rose,3,4.01,Thailand,56.62,Excellent,Win
2340,Clarice,Plakat,4,6.26,Vietnam,68.3,Untidy,Lose
2341,Lotta,Spade,1,5.71,Thailand,95.81,Poor,Win
2342,Arney,Halfmoon,4,4.78,Thailand,57.31,Good,Win
2343,Johnathon,Rose,4,7.06,India,6.84,Poor,Lose
2344,Cathee,Rose,3,4.61,Vietnam,82.61,Excellent,Win
2345,Martie,Rose,3,4.0,Vietnam,41.83,Excellent,Win
2346,Kimmi,Crown,2,7.05,India,30.27,Poor,Lose
2347,Lila,Spade,5,4.03,Thailand,44.23,Untidy,Lose
2348,Corissa,Plakat,4,3.88,India,53.36,Untidy,Lose
2349,Codie,Spade,2,6.77,Thailand,53.14,Good,Win
2350,Davy,Spade,2,4.91,Thailand,43.04,Good,Win
2351,Brewster,Halfmoon,3,4.28,Indonesia,1.15,Poor,Lose
2352,Grier,Rose,3,6.74,India,22.44,Poor,Lose
2353,Wolf,Spade,4,4.23,India,92.01,Poor,Lose
2354,Garnet,Spade,2,6.73,India,17.61,Untidy,Lose
2355,Hedi,Spade,1,6.73,India,3.7,Poor,Lose
2356,Nefen,Plakat,1,4.96,Thailand,82.67,Excellent,Win
2357,Nessie,Spade,4,3.8,Thailand,58.77,Good,Win
2358,Etti,Spade,3,6.43,Indonesia,24.84,Untidy,Lose
2359,Lolly,Rose,5,6.64,India,47.38,Poor,Lose
2360,Waldemar,Spade,2,6.49,India,45.58,Untidy,Lose
2361,Esmeralda,Spade,3,4.46,Indonesia,59.46,Untidy,Lose
2362,Merna,Rose,3,5.68,Vietnam,66.56,Excellent,Win
2363,Court,Crown,4,4.73,Indonesia,55.05,Untidy,Win
2364,Trip,Halfmoon,1,6.03,Vietnam,50.94,Good,Win
2365,Margette,Rose,5,4.79,Thailand,79.7,Excellent,Win
2366,Lesley,Rose,1,5.37,Vietnam,70.0,Excellent,Win
2367,Hynda,Spade,5,7.09,Indonesia,0.93,Poor,Lose
2368,Homer,Plakat,5,4.22,India,54.13,Good,Lose
2369,Timmie,Plakat,4,4.83,Indonesia,7.87,Untidy,Lose
2370,Val,Crown,2,5.47,Thailand,75.72,Good,Win
2371,Lion,Plakat,4,6.32,Vietnam,60.96,Good,Win
2372,Vernice,Halfmoon,2,4.1,Thailand,34.02,Excellent,Win
2373,Oralee,Crown,3,4.56,Indonesia,72.86,Excellent,Win
2374,Waite,Plakat,5,4.2,Thailand,56.23,Good,Win
2375,Erinn,Crown,2,3.59,India,13.61,Untidy,Lose
2376,Mady,Crown,2,5.56,Vietnam,58.29,Excellent,Win
2377,Judi,Halfmoon,2,4.46,India,2.73,Poor,Lose
2378,Alfy,Crown,2,4.62,Vietnam,61.02,Excellent,Win
2379,Pavel,Plakat,1,7.1,India,36.57,Poor,Lose
2380,Hewet,Plakat,5,6.94,India,13.47,Poor,Lose
2381,Ines,Crown,3,3.63,India,29.65,Untidy,Lose
2382,Goran,Rose,3,4.71,Indonesia,93.43,Excellent,Win
2383,Ulrich,Rose,2,6.51,Vietnam,83.54,Excellent,Win
2384,Cooper,Plakat,1,3.92,India,13.92,Untidy,Lose
2385,Elset,Halfmoon,1,6.09,Thailand,76.51,Excellent,Win
2386,Terrance,Rose,3,6.42,Thailand,36.6,Good,Win
2387,Bendite,Crown,3,5.69,Thailand,55.69,Excellent,Win
2388,Zelda,Rose,4,4.59,Vietnam,73.22,Good,Win
2389,Lorie,Spade,1,6.38,Indonesia,15.5,Poor,Lose
2390,Hastings,Rose,5,3.97,India,6.03,Poor,Lose
2391,Vita,Spade,1,5.06,Vietnam,81.89,Good,Win
2392,Tressa,Rose,3,6.13,Indonesia,92.1,Good,Win
2393,Archie,Spade,5,3.53,Thailand,1.5,Untidy,Win
2394,Tootsie,Crown,3,3.6,India,6.64,Poor,Lose
2395,Caro,Crown,1,5.43,Vietnam,22.85,Good,Win
2396,Fina,Halfmoon,1,6.76,Vietnam,47.86,Excellent,Win
2397,Cynthie,Plakat,4,6.65,India,22.88,Poor,Lose
2398,Pier,Plakat,3,3.91,Indonesia,39.08,Untidy,Lose
2399,Cad,Rose,1,4.86,Thailand,53.08,Excellent,Win
2400,Westley,Spade,2,6.74,India,22.04,Untidy,Lose
2401,Alyss,Crown,2,5.23,India,32.51,Poor,Lose
2402,Biron,Crown,4,4.63,Vietnam,89.72,Excellent,Win
2403,Marney,Crown,4,6.28,Indonesia,42.48,Poor,Lose
2404,Nichols,Plakat,3,5.93,Thailand,93.21,Untidy,Win
2405,Renee,Plakat,2,3.62,Thailand,33.42,Untidy,Lose
2406,Amata,Rose,3,6.27,Indonesia,6.92,Poor,Lose
2407,Guy,Plakat,4,6.38,India,8.96,Untidy,Lose
2408,Polly,Crown,2,4.92,Thailand,96.94,Excellent,Win
2409,Kristo,Rose,5,5.81,Thailand,72.31,Excellent,Win
2410,Gibb,Halfmoon,1,5.9,Vietnam,87.37,Excellent,Win
2411,Ilaire,Plakat,2,3.53,India,52.91,Poor,Lose
2412,Ariana,Plakat,4,6.27,Vietnam,52.91,Good,Win
2413,Johnathon,Rose,4,4.12,India,10.73,Poor,Lose
2414,Camila,Halfmoon,2,5.97,Indonesia,29.6,Poor,Lose
2415,Derrick,Spade,1,5.84,Vietnam,50.42,Untidy,Win
2416,Gawain,Crown,1,5.79,Thailand,74.01,Excellent,Win
2417,Chadd,Plakat,5,5.09,India,56.74,Poor,Win
2418,Torie,Plakat,4,4.41,India,12.73,Untidy,Win
2419,Neddie,Halfmoon,5,5.79,Vietnam,63.27,Good,Win
2420,Shantee,Halfmoon,1,6.13,Vietnam,68.46,Good,Win
2421,Nicoline,Halfmoon,2,4.36,Vietnam,45.09,Good,Win
2422,Kellby,Halfmoon,4,3.58,Thailand,10.07,Good,Win
2423,Elysia,Crown,5,3.78,Indonesia,28.73,Untidy,Lose
2424,Babbie,Spade,5,4.32,Thailand,47.81,Good,Win
2425,Willa,Plakat,3,6.09,Indonesia,3.95,Excellent,Win
2426,Karola,Rose,5,4.8,Thailand,83.55,Excellent,Win
2427,Earl,Plakat,5,3.67,India,50.85,Untidy,Lose
2428,Crosby,Plakat,3,5.71,Vietnam,73.25,Excellent,Win
2429,Stefan,Plakat,4,6.54,India,27.98,Poor,Lose
2430,Kleon,Plakat,1,5.28,India,90.51,Good,Lose
2431,Clywd,Crown,5,6.76,Indonesia,0.68,Untidy,Lose
2432,Ephrayim,Plakat,4,6.8,Indonesia,25.7,Untidy,Lose
2433,Haley,Crown,5,6.54,Vietnam,69.11,Excellent,Win
2434,Caron,Plakat,3,4.4,India,25.48,Untidy,Lose
2435,Barry,Spade,2,4.95,India,74.7,Excellent,Win
2436,Analise,Halfmoon,5,4.39,Thailand,56.16,Untidy,Lose
2437,Dur,Spade,5,5.5,India,28.55,Excellent,Win
2438,Killie,Rose,3,4.86,India,15.22,Poor,Lose
2439,Morgan,Rose,2,4.98,Vietnam,59.06,Poor,Lose
2440,Bradan,Halfmoon,2,6.0,Indonesia,16.47,Poor,Lose
2441,Kaycee,Rose,3,6.54,Indonesia,25.01,Poor,Lose
2442,Eleni,Spade,5,6.7,India,9.03,Poor,Lose
2443,Nedi,Rose,5,5.43,Vietnam,57.02,Poor,Win
2444,Obadias,Crown,4,6.58,India,24.52,Poor,Lose
2445,Bink,Crown,4,5.85,Vietnam,55.28,Untidy,Win
2446,Sigismondo,Halfmoon,5,6.4,India,74.78,Good,Lose
2447,Bailie,Halfmoon,3,6.58,Vietnam,69.48,Good,Win
2448,Rici,Crown,4,6.49,Thailand,69.47,Excellent,Win
2449,Theo,Crown,3,3.62,Vietnam,95.95,Excellent,Lose
2450,Revkah,Halfmoon,2,4.94,Thailand,77.24,Untidy,Lose
2451,Corny,Spade,2,4.32,India,6.83,Untidy,Lose
2452,Karla,Crown,4,5.27,Thailand,64.61,Good,Win
2453,Pen,Halfmoon,4,6.37,India,10.95,Poor,Lose
2454,Rozanne,Crown,2,6.06,Indonesia,26.17,Untidy,Lose
2455,Norri,Rose,3,5.29,India,29.34,Good,Lose
2456,Reynolds,Spade,1,4.97,Vietnam,58.59,Excellent,Win
2457,Gabbie,Spade,4,4.46,Thailand,53.23,Excellent,Win
2458,Marcelo,Plakat,3,5.74,Indonesia,80.22,Untidy,Win
2459,Norry,Spade,1,6.28,Indonesia,28.59,Untidy,Lose
2460,Elia,Crown,5,5.48,Vietnam,83.81,Excellent,Win
2461,Maureene,Rose,2,5.19,India,82.97,Excellent,Win
2462,Nessie,Crown,3,5.38,Thailand,84.15,Excellent,Lose
2463,Elisabetta,Rose,3,6.2,Thailand,77.71,Good,Win
2464,Salem,Plakat,5,6.66,Vietnam,69.98,Excellent,Win
2465,Etan,Crown,2,6.73,India,97.77,Untidy,Lose
2466,Ailina,Plakat,5,4.77,Thailand,55.08,Excellent,Win
2467,Perl,Spade,2,4.82,Thailand,43.84,Excellent,Win
2468,Garnet,Plakat,1,5.18,Thailand,53.58,Untidy,Lose
2469,Briano,Crown,3,3.66,Indonesia,26.89,Good,Lose
2470,Pooh,Halfmoon,4,7.03,Thailand,55.4,Untidy,Lose
2471,Ty,Crown,3,4.98,Thailand,55.23,Excellent,Win
2472,Bertrand,Spade,3,6.63,Indonesia,18.51,Good,Lose
2473,Shelden,Halfmoon,2,5.18,Thailand,78.94,Good,Win
2474,Katrine,Spade,4,6.38,Indonesia,84.88,Poor,Win
2475,Kerwin,Rose,2,5.59,Thailand,83.11,Excellent,Win
2476,Alonzo,Halfmoon,5,4.04,India,50.36,Good,Lose
2477,Beryle,Rose,4,6.45,India,22.33,Poor,Lose
2478,Garvy,Rose,1,6.69,Thailand,75.48,Good,Win
2479,Letizia,Crown,3,4.0,India,39.81,Poor,Lose
2480,Stevena,Rose,3,5.8,Vietnam,68.09,Excellent,Win
2481,Ariella,Spade,3,4.7,India,7.39,Untidy,Lose
2482,Gale,Spade,2,4.66,Indonesia,56.17,Poor,Lose
2483,Felecia,Spade,1,4.2,Indonesia,27.44,Poor,Lose
2484,Fredrick,Halfmoon,4,4.83,Indonesia,45.38,Poor,Lose
2485,Colman,Crown,2,6.72,India,4.59,Untidy,Lose
2486,Javier,Rose,2,6.48,India,24.92,Untidy,Lose
2487,Elbert,Rose,2,5.44,India,84.94,Excellent,Win
2488,Sabra,Crown,2,5.6,Indonesia,74.26,Good,Win
2489,Noland,Plakat,5,4.57,India,29.03,Untidy,Lose
2490,Lynnette,Crown,3,4.25,India,2.14,Poor,Lose
2491,Filip,Rose,1,6.69,Vietnam,78.05,Excellent,Win
2492,Gunar,Spade,4,5.45,Thailand,61.44,Untidy,Win
2493,Mattheus,Halfmoon,4,4.17,Thailand,56.28,Untidy,Win
2494,Kevin,Halfmoon,4,4.33,Indonesia,56.95,Poor,Lose
2495,Araldo,Plakat,4,6.87,India,14.09,Untidy,Lose
2496,Karylin,Crown,5,3.54,Indonesia,2.98,Excellent,Lose
2497,Lucita,Halfmoon,2,5.96,India,28.2,Untidy,Lose
2498,Charil,Rose,1,6.81,India,96.77,Untidy,Win
2499,Demetria,Rose,1,6.63,India,46.43,Untidy,Lose
2500,Linnell,Crown,2,4.45,India,27.06,Untidy,Lose
2501,Tracey,Rose,2,6.45,India,25.06,Untidy,Lose
2502,Kate,Spade,5,6.74,Vietnam,64.59,Good,Win
2503,Jack,Spade,4,4.66,Thailand,43.68,Good,Win
2504,Rikki,Spade,3,6.46,Vietnam,52.76,Excellent,Win
2505,Katrina,Rose,3,4.32,India,17.13,Untidy,Lose
2506,Anders,Crown,2,4.63,Thailand,92.46,Good,Win
2507,Terrill,Halfmoon,3,6.72,India,15.93,Excellent,Lose
2508,Flem,Plakat,2,6.94,India,46.83,Poor,Lose
2509,Porter,Plakat,1,5.81,Vietnam,81.32,Untidy,Win
2510,Janaya,Crown,2,6.29,Thailand,43.8,Good,Lose
2511,Flynn,Spade,3,6.57,Thailand,91.69,Good,Win
2512,Allene,Halfmoon,5,5.37,Vietnam,78.55,Excellent,Win
2513,Rockwell,Crown,4,7.06,India,96.75,Good,Win
2514,Michelle,Spade,2,6.49,Vietnam,58.2,Poor,Win
2515,Phebe,Rose,5,6.9,Indonesia,20.22,Poor,Lose
2516,Heinrik,Plakat,2,4.43,India,21.2,Poor,Lose
2517,Bill,Plakat,3,6.86,India,42.07,Untidy,Win
2518,Hunter,Rose,2,5.49,Vietnam,80.86,Good,Win
2519,Vanya,Rose,3,4.74,Indonesia,29.49,Untidy,Lose
2520,Sander,Spade,2,4.0,Vietnam,58.72,Excellent,Win
2521,Ray,Spade,2,4.38,Indonesia,11.86,Untidy,Lose
2522,Angelle,Halfmoon,5,4.46,Vietnam,38.66,Excellent,Win
2523,Almeta,Plakat,1,3.65,Thailand,40.5,Untidy,Win
2524,Si,Plakat,1,4.35,India,44.21,Poor,Lose
2525,Justen,Spade,2,4.72,India,28.92,Untidy,Lose
2526,Gerek,Spade,5,5.06,Vietnam,89.55,Excellent,Win
2527,Caldwell,Rose,1,4.55,Vietnam,46.72,Untidy,Win
2528,Tressa,Crown,4,7.03,Indonesia,23.22,Good,Win
2529,Aile,Crown,4,3.86,Thailand,42.11,Excellent,Win
2530,Nerte,Plakat,1,5.79,Thailand,92.22,Excellent,Win
2531,Thoma,Crown,4,6.49,India,84.62,Untidy,Lose
2532,Lanni,Crown,2,3.83,Vietnam,22.38,Good,Win
2533,Shawn,Spade,5,5.97,Indonesia,19.69,Untidy,Lose
2534,Lacee,Rose,3,4.8,Vietnam,33.03,Excellent,Win
2535,Magdaia,Crown,3,4.73,Indonesia,10.05,Untidy,Win
2536,Stewart,Spade,4,3.99,Thailand,52.32,Excellent,Win
2537,Elihu,Spade,4,6.89,Indonesia,3.32,Untidy,Lose
2538,Elfreda,Crown,5,6.24,Vietnam,64.49,Good,Win
2539,Nicol,Rose,5,5.75,Thailand,55.94,Excellent,Win
2540,Ainslie,Plakat,2,6.8,Thailand,3.02,Poor,Lose
2541,Corene,Crown,1,5.19,Thailand,65.82,Good,Win
2542,Cissiee,Plakat,5,3.69,India,10.25,Poor,Lose
2543,Marcelline,Rose,4,4.3,Thailand,48.3,Good,Win
2544,Denver,Rose,2,6.0,Indonesia,57.74,Excellent,Win
2545,Lurleen,Crown,2,7.03,India,28.99,Poor,Lose
2546,Liliane,Halfmoon,5,4.82,Indonesia,25.48,Poor,Lose
2547,Toddie,Spade,3,5.95,India,14.18,Untidy,Lose
2548,Finley,Crown,3,5.33,Thailand,52.37,Excellent,Win
2549,Morley,Plakat,1,6.51,Vietnam,87.1,Good,Win
2550,Jonas,Crown,2,5.51,India,71.39,Excellent,Win
2551,Angil,Plakat,2,5.65,Thailand,76.87,Poor,Win
2552,Reider,Rose,1,4.84,Vietnam,80.47,Excellent,Win
2553,Freedman,Halfmoon,4,4.76,Thailand,56.99,Excellent,Win
2554,Genevra,Rose,2,3.55,India,28.12,Poor,Lose
2555,Suzette,Spade,2,5.12,Vietnam,12.55,Untidy,Win
2556,Meagan,Spade,4,6.48,Thailand,55.22,Good,Win
2557,Winona,Plakat,5,5.05,Thailand,96.99,Excellent,Win
2558,Dante,Plakat,5,4.4,Thailand,40.51,Good,Win
2559,Skell,Plakat,5,3.74,India,33.2,Untidy,Lose
2560,Ban,Rose,2,4.37,Thailand,49.64,Excellent,Win
2561,Jacinda,Rose,4,4.86,Thailand,58.06,Good,Win
2562,Peri,Rose,1,7.0,Thailand,41.37,Poor,Win
2563,Rica,Rose,1,3.62,India,21.98,Poor,Lose
2564,Lorilee,Plakat,1,4.63,Vietnam,60.31,Good,Win
2565,Dukey,Spade,1,5.24,Vietnam,99.73,Good,Win
2566,Adeline,Rose,2,6.47,Indonesia,54.5,Good,Win
2567,Lilian,Spade,1,4.47,India,28.66,Untidy,Lose
2568,Raffarty,Crown,2,4.29,Thailand,34.44,Excellent,Win
2569,Napoleon,Crown,3,6.47,Thailand,66.09,Excellent,Win
2570,Dorolisa,Spade,3,5.98,Vietnam,56.44,Excellent,Win
2571,Jackie,Plakat,4,4.96,Thailand,85.62,Excellent,Win
2572,Elfie,Spade,2,3.85,Thailand,36.59,Good,Win
2573,Lyon,Spade,5,4.75,India,1.85,Untidy,Lose
2574,Blithe,Halfmoon,5,3.81,India,52.21,Poor,Win
2575,Aurlie,Rose,1,6.17,Vietnam,89.37,Excellent,Win
2576,Odele,Spade,2,5.81,India,52.67,Excellent,Win
2577,Husain,Halfmoon,5,5.43,Indonesia,63.39,Untidy,Lose
2578,Danette,Rose,3,6.3,Thailand,82.67,Good,Win
2579,Bob,Crown,4,4.79,India,69.52,Good,Win
2580,Denys,Crown,5,7.08,Indonesia,2.33,Good,Lose
2581,Sunny,Halfmoon,1,6.44,Vietnam,51.79,Excellent,Win
2582,Gradey,Rose,5,5.37,Vietnam,87.6,Good,Win
2583,Neddy,Halfmoon,3,6.06,Indonesia,61.68,Excellent,Win
2584,Alva,Spade,3,4.95,Thailand,84.47,Good,Win
2585,Rickard,Spade,5,6.17,Vietnam,61.29,Excellent,Win
2586,Beverlie,Plakat,1,6.12,Vietnam,54.25,Excellent,Win
2587,Pennie,Halfmoon,5,4.32,Vietnam,34.64,Untidy,Lose
2588,Nathanil,Crown,2,6.58,Indonesia,28.5,Untidy,Lose
2589,Donall,Plakat,5,5.9,Thailand,69.51,Good,Win
2590,Gerry,Crown,1,4.71,Vietnam,50.41,Good,Win
2591,Ransom,Crown,2,6.47,India,19.44,Untidy,Lose
2592,Car,Crown,4,6.55,Indonesia,8.75,Poor,Lose
2593,Daffie,Spade,4,4.11,Thailand,36.9,Good,Win
2594,Ogden,Rose,5,3.68,Indonesia,17.98,Untidy,Lose
2595,Audrye,Halfmoon,5,3.9,Indonesia,0.74,Poor,Lose
2596,York,Rose,3,6.81,Thailand,68.29,Poor,Win
2597,Pauly,Spade,2,5.65,Thailand,83.78,Untidy,Win
2598,Carmon,Halfmoon,3,4.65,Vietnam,49.2,Untidy,Lose
2599,Davidson,Spade,3,5.98,Indonesia,3.01,Poor,Lose
2600,Frederic,Halfmoon,1,6.28,Vietnam,68.84,Untidy,Lose
2601,Anitra,Rose,2,6.38,Thailand,57.69,Excellent,Win
2602,Gareth,Spade,1,4.75,Thailand,76.24,Untidy,Lose
2603,Hal,Rose,1,6.56,Vietnam,64.72,Excellent,Win
2604,Cher,Plakat,3,6.4,Vietnam,43.4,Untidy,Lose
2605,Eliza,Rose,5,4.5,India,9.77,Untidy,Lose
2606,Blinnie,Crown,4,4.28,India,19.72,Good,Lose
2607,Ilyssa,Halfmoon,4,5.02,Thailand,57.46,Excellent,Win
2608,Sterne,Crown,5,6.22,Thailand,70.13,Good,Win
2609,Rebeka,Spade,3,3.78,India,38.77,Excellent,Lose
2610,Jodee,Spade,2,6.53,Vietnam,86.48,Excellent,Win
2611,Bridgette,Crown,1,5.64,Indonesia,82.23,Good,Win
2612,Chrysler,Spade,2,6.4,India,87.67,Good,Win
2613,Con,Crown,2,5.67,Vietnam,79.12,Excellent,Win
2614,Vittorio,Rose,1,6.41,Indonesia,16.61,Poor,Lose
2615,Jonathon,Plakat,2,3.65,Indonesia,32.07,Poor,Lose
2616,Amil,Spade,3,7.03,India,20.34,Poor,Win
2617,Tallie,Plakat,1,6.38,India,4.35,Poor,Lose
2618,Didi,Spade,5,5.95,Vietnam,82.34,Good,Win
2619,Gwen,Crown,4,4.85,India,1.8,Poor,Lose
