id,store_name,average_response_time,successful_transactions,number_of_workday,cancelled_transactions,average_review_score
1628,"Padberg, Schoen and Barrows",1191 Minute(s),107053,4 Day(s),1909,3.85
1629,McLaughlin and Sons,219 Minute(s),188332,6 Day(s),878,4.25
1630,"Durgan, Reichert and Hilll",571 Minute(s),53941,6 Day(s),1844,4.22
1631,Howe-D'Amore,209 Minute(s),220575,4 Day(s),1126,4.35
1632,"Schoen, Russel and Bednar",932 Minute(s),109812,3 Day(s),2582,3.28
1633,Mills and Sons,876 Minute(s),119368,5 Day(s),2937,2.24
1634,"Marvin, Gorczany and Schuster",612 Minute(s),107054,4 Day(s),2268,3.49
1635,Bednar and Sons,1073 Minute(s),50348,3 Day(s),1758,2.89
1636,Ankunding-Ernser,845 Minute(s),40003,4 Day(s),2144,4.19
1637,Hyatt Group,1394 Minute(s),93931,4 Day(s),1724,2.79
1638,Runte and Sons,89 Minute(s),133205,7 Day(s),677,3.81
1639,Ratke Group,91 Minute(s),79853,7 Day(s),647,4.36
1640,Fay LLC,808 Minute(s),86950,4 Day(s),2785,2.13
1641,O'Connell-Kihn,663 Minute(s),89090,3 Day(s),2639,3.24
1642,"Kertzmann, Lueilwitz and Kohler",450 Minute(s),207642,6 Day(s),1471,4.74
1643,Schmidt-Brakus,1168 Minute(s),95816,3 Day(s),2115,3.55
1644,"Runolfsson, Leffler and Bruen",179 Minute(s),261805,6 Day(s),375,4.15
1645,McClure and Sons,1357 Minute(s),106891,4 Day(s),2479,2.67
1646,Wolff and Sons,1149 Minute(s),119694,4 Day(s),1901,4.42
1647,"Thompson, Crooks and Schoen",522 Minute(s),38277,4 Day(s),2565,3.56
1648,"Windler, Little and Weissnat",1146 Minute(s),35366,5 Day(s),1901,3.08
1649,Schroeder-Legros,871 Minute(s),72224,4 Day(s),2664,2.43
1650,Homenick Group,165 Minute(s),94916,7 Day(s),400,3.55
1651,Dibbert Inc,806 Minute(s),34090,2 Day(s),2198,4.18
1652,"Quigley, Wyman and Fadel",176 Minute(s),122349,7 Day(s),292,3.99
1653,Williamson Inc,860 Minute(s),94721,4 Day(s),2569,2.79
1654,Tremblay Inc,566 Minute(s),147614,6 Day(s),1134,3.56
1655,Reilly and Sons,571 Minute(s),42243,4 Day(s),1792,4.1
1656,"Hahn, Johnston and McDermott",513 Minute(s),66765,4 Day(s),1710,3.05
1657,Murray-Howe,152 Minute(s),257881,7 Day(s),439,4.62
1658,"McKenzie, Bogisich and Beier",227 Minute(s),222643,7 Day(s),151,3.51
1659,Bechtelar LLC,95 Minute(s),273209,5 Day(s),289,4.54
1660,Hagenes Inc,797 Minute(s),81442,5 Day(s),2838,2.98
1661,Klocko-Stoltenberg,342 Minute(s),234779,7 Day(s),636,4.33
1662,"Lebsack, Funk and Hilpert",224 Minute(s),187206,6 Day(s),1228,4.49
1663,"Reichert, Roberts and Beahan",581 Minute(s),35175,3 Day(s),2003,2.87
1664,"Hyatt, Sipes and Wilkinson",178 Minute(s),284459,7 Day(s),481,3.93
1665,Welch-Harber,750 Minute(s),110280,2 Day(s),2950,2.72
1666,Stanton-West,581 Minute(s),105707,5 Day(s),1862,3.91
1667,Hamill Inc,250 Minute(s),208323,7 Day(s),1107,3.86
1668,"Crist, Pouros and Zieme",186 Minute(s),159175,5 Day(s),1503,3.57
1669,Ullrich-Crooks,1109 Minute(s),98971,5 Day(s),2323,2.24
1670,Douglas Inc,1180 Minute(s),36098,3 Day(s),2568,4.17
1671,"Roberts, Pagac and Crist",933 Minute(s),101647,5 Day(s),2614,2.95
1672,Waters Group,876 Minute(s),54145,5 Day(s),2065,3.29
1673,Bernier Inc,1055 Minute(s),122580,4 Day(s),2375,2.27
1674,Rau-Harris,663 Minute(s),43489,5 Day(s),2215,2.86
1675,Johns LLC,439 Minute(s),167109,6 Day(s),1332,3.2
1676,"Upton, Luettgen and Mueller",1122 Minute(s),88226,4 Day(s),1531,4.04
1677,Botsford Inc,602 Minute(s),65317,3 Day(s),1511,2.96
1678,"Powlowski, Farrell and Kohler",187 Minute(s),107358,4 Day(s),1065,4.62
1679,"Cummerata, Grady and Bogan",160 Minute(s),294974,5 Day(s),508,4.25
1680,Schneider LLC,392 Minute(s),171705,4 Day(s),1342,4.66
1681,Moen-Schmidt,95 Minute(s),213643,6 Day(s),617,4.33
1682,Schulist-Stiedemann,340 Minute(s),151209,4 Day(s),1203,4.05
1683,Mraz Group,124 Minute(s),189986,3 Day(s),913,4.0
1684,Greenholt-Hayes,930 Minute(s),37912,4 Day(s),2572,3.93
1685,"Prohaska, Paucek and Carroll",169 Minute(s),131693,3 Day(s),926,4.32
1686,Ziemann-Shanahan,966 Minute(s),98851,5 Day(s),2091,3.27
1687,Friesen and Sons,1149 Minute(s),98039,2 Day(s),2833,2.61
1688,"Balistreri, Brakus and Franecki",403 Minute(s),154691,5 Day(s),1110,4.31
1689,Bosco-Lang,1088 Minute(s),81902,3 Day(s),2105,3.82
1690,Monahan and Sons,305 Minute(s),165579,5 Day(s),1268,3.46
1691,Daugherty and Sons,1160 Minute(s),127324,2 Day(s),2403,2.57
1692,Cassin-Emard,178 Minute(s),158098,6 Day(s),1192,3.91
1693,Smitham-Roberts,552 Minute(s),169116,4 Day(s),1257,3.55
1694,Kub Group,304 Minute(s),142890,4 Day(s),1036,4.21
1695,Rempel-Crona,1315 Minute(s),116914,5 Day(s),1855,3.49
1696,"Schinner, Jones and Wolff",566 Minute(s),47534,2 Day(s),2329,3.79
1697,Rau Inc,79 Minute(s),212529,4 Day(s),343,4.38
1698,O'Kon LLC,134 Minute(s),73404,5 Day(s),348,4.4
1699,Cassin-Witting,164 Minute(s),97174,5 Day(s),189,4.53
1700,"Ullrich, Wolf and Schaefer",835 Minute(s),42495,4 Day(s),2502,3.75
1701,Langworth-Hane,41 Minute(s),119067,6 Day(s),357,4.72
1702,"D'Amore, VonRueden and Walker",477 Minute(s),195000,7 Day(s),137,4.4
1703,"Carter, Carter and Lindgren",1075 Minute(s),83248,4 Day(s),1762,3.09
1704,Stehr Inc,733 Minute(s),57122,2 Day(s),2410,3.2
1705,Price-Lynch,1237 Minute(s),30895,3 Day(s),1920,3.15
1706,Hoppe LLC,925 Minute(s),55137,4 Day(s),1893,4.25
1707,"Robel, Wilkinson and Daniel",1020 Minute(s),55584,5 Day(s),2124,4.16
1708,Turcotte Group,526 Minute(s),173133,3 Day(s),981,3.54
1709,Greenfelder-Grimes,1298 Minute(s),42437,5 Day(s),1769,2.82
1710,"Schinner, Carter and O'Connell",60 Minute(s),184000,6 Day(s),548,4.86
1711,"Gislason, Wyman and Ratke",1377 Minute(s),50600,5 Day(s),1544,3.29
1712,"Macejkovic, Corwin and Mayert",343 Minute(s),167757,3 Day(s),1429,4.5
1713,"Koepp, Langosh and Rohan",206 Minute(s),100622,6 Day(s),524,4.03
1714,Fay Inc,550 Minute(s),74812,4 Day(s),2052,3.37
1715,Bartoletti-Mraz,793 Minute(s),35247,4 Day(s),2036,3.14
1716,Kertzmann Inc,400 Minute(s),162173,6 Day(s),1255,3.82
1717,Gerlach LLC,682 Minute(s),74841,5 Day(s),1975,3.63
1718,"Bradtke, McGlynn and Bechtelar",190 Minute(s),150039,5 Day(s),1217,3.74
1719,"Kutch, Champlin and Farrell",1329 Minute(s),89568,4 Day(s),2323,3.56
1720,Wilderman-Marks,20 Minute(s),226192,7 Day(s),102,4.79
1721,Murphy-Hoeger,932 Minute(s),78777,5 Day(s),1502,2.72
1722,Haag LLC,693 Minute(s),88722,4 Day(s),1760,3.33
1723,"Nikolaus, Kassulke and Senger",198 Minute(s),195028,5 Day(s),1413,3.62
1724,Wehner-Wunsch,118 Minute(s),251082,7 Day(s),571,4.59
1725,Pollich-Anderson,325 Minute(s),136685,5 Day(s),1455,4.67
1726,Klein and Sons,416 Minute(s),190630,5 Day(s),1203,3.48
1727,"Hilpert, Ankunding and Homenick",171 Minute(s),177192,4 Day(s),63,4.48
1728,Rau Inc,61 Minute(s),110253,5 Day(s),336,4.11
1729,Wisozk Group,951 Minute(s),119790,5 Day(s),2580,2.23
1730,"Langosh, Huel and Jenkins",335 Minute(s),198531,6 Day(s),684,4.31
1731,Hills LLC,208 Minute(s),112120,6 Day(s),392,4.18
1732,McKenzie LLC,1165 Minute(s),96181,4 Day(s),2191,3.32
1733,"Mante, Sipes and Reichel",1251 Minute(s),54552,5 Day(s),2443,3.9
1734,Feil LLC,818 Minute(s),85272,2 Day(s),2496,2.17
1735,McKenzie Inc,512 Minute(s),65325,2 Day(s),2308,3.36
1736,Walter and Sons,84 Minute(s),166356,5 Day(s),742,3.62
1737,"Rolfson, Armstrong and Abernathy",2 Minute(s),68180,6 Day(s),1010,3.61
1738,Jerde-Roberts,102 Minute(s),254638,7 Day(s),676,4.2
1739,Abernathy Group,491 Minute(s),130403,5 Day(s),1213,3.97
1740,Conn-Funk,645 Minute(s),115305,4 Day(s),1662,3.5
1741,"Johnson, Cummerata and Bechtelar",15 Minute(s),221688,6 Day(s),86,3.54
1742,"Hagenes, Terry and Hahn",418 Minute(s),162164,5 Day(s),1441,4.96
1743,"Balistreri, Borer and Kohler",371 Minute(s),166955,6 Day(s),1389,3.76
1744,"Bernier, Trantow and Steuber",8 Minute(s),212010,7 Day(s),122,4.08
1745,Howell Inc,67 Minute(s),147257,4 Day(s),565,3.22
1746,Douglas-Shanahan,352 Minute(s),150082,5 Day(s),1330,3.63
1747,"Spinka, Herman and Mraz",178 Minute(s),135989,6 Day(s),1346,3.5
1748,Mills Inc,2 Minute(s),244492,4 Day(s),694,4.52
1749,Daniel and Sons,88 Minute(s),172603,5 Day(s),130,3.21
1750,"Moore, Maggio and King",241 Minute(s),156913,6 Day(s),661,3.62
1751,"Kshlerin, Herzog and Lubowitz",1016 Minute(s),68374,4 Day(s),1671,3.37
1752,Dach Group,1201 Minute(s),93921,4 Day(s),2705,3.48
1753,"McClure, Purdy and Satterfield",110 Minute(s),239415,5 Day(s),676,3.67
1754,"Schroeder, King and McGlynn",1378 Minute(s),96946,3 Day(s),2083,3.04
1755,Anderson-Crooks,570 Minute(s),129954,4 Day(s),1937,3.48
1756,Crist Group,344 Minute(s),219217,3 Day(s),1083,3.77
1757,Johns LLC,350 Minute(s),136119,5 Day(s),1390,4.25
1758,"Gottlieb, Lubowitz and McClure",72 Minute(s),98873,6 Day(s),286,3.86
1759,"Sipes, Nolan and Kuphal",359 Minute(s),173783,7 Day(s),1255,3.23
1760,MacGyver-Donnelly,31 Minute(s),161236,4 Day(s),157,4.72
1761,Hettinger-Bergstrom,826 Minute(s),51411,3 Day(s),2581,3.21
1762,Renner Group,1424 Minute(s),109504,3 Day(s),2750,2.43
1763,"McLaughlin, Wyman and Prohaska",647 Minute(s),67565,5 Day(s),1838,3.04
1764,Mohr-Ritchie,280 Minute(s),215945,7 Day(s),1289,3.41
1765,Kutch LLC,147 Minute(s),284731,5 Day(s),558,4.69
1766,Dooley-Swaniawski,284 Minute(s),184939,7 Day(s),1216,3.6
1767,Kreiger Group,443 Minute(s),197008,4 Day(s),1004,3.73
1768,"Jones, Sipes and Zulauf",710 Minute(s),108266,2 Day(s),2695,2.47
1769,Kutch-Jones,208 Minute(s),213836,6 Day(s),1383,3.19
1770,Nitzsche-Ullrich,252 Minute(s),172707,7 Day(s),1162,4.37
1771,Schuster Inc,405 Minute(s),222365,4 Day(s),1207,4.72
1772,Mosciski-Conn,1307 Minute(s),60780,4 Day(s),2004,4.45
1773,Nitzsche-Bode,270 Minute(s),122673,5 Day(s),1267,4.13
1774,"Koch, Streich and Okuneva",480 Minute(s),149751,4 Day(s),1329,3.74
1775,"Gutmann, Yundt and Murazik",94 Minute(s),140695,5 Day(s),1331,3.55
1776,"Kirlin, Koss and Stroman",194 Minute(s),56925,5 Day(s),1133,3.57
1777,Hilll Group,1386 Minute(s),30331,5 Day(s),1510,3.72
1778,Halvorson-Reinger,399 Minute(s),159460,5 Day(s),1222,3.9
1779,Rempel-Collier,1382 Minute(s),84063,3 Day(s),1757,3.43
1780,O'Conner-Weimann,1150 Minute(s),88561,3 Day(s),1860,4.09
1781,Friesen-Daniel,679 Minute(s),79100,3 Day(s),2042,4.4
1782,Schinner Inc,868 Minute(s),99237,4 Day(s),2096,4.21
1783,Douglas Group,152 Minute(s),187241,7 Day(s),692,4.95
1784,"Bergnaum, Wiza and Schumm",212 Minute(s),104905,6 Day(s),667,4.05
1785,Pagac and Sons,763 Minute(s),52259,3 Day(s),1906,4.19
1786,Cremin-Kilback,320 Minute(s),127757,5 Day(s),511,3.37
1787,Carroll LLC,52 Minute(s),225579,6 Day(s),454,3.74
1788,Jacobson-Borer,241 Minute(s),154208,7 Day(s),1308,3.53
1789,"Becker, Koepp and Quigley",57 Minute(s),204609,6 Day(s),431,4.07
1790,"Zieme, Towne and Rolfson",39 Minute(s),104270,6 Day(s),199,4.31
1791,Schuppe Inc,792 Minute(s),57349,5 Day(s),1731,3.34
1792,Christiansen-Kertzmann,14 Minute(s),146983,7 Day(s),52,3.63
1793,"Heidenreich, Steuber and Satterfield",410 Minute(s),247117,5 Day(s),890,4.9
1794,"Trantow, Berge and Howe",142 Minute(s),259121,6 Day(s),344,4.4
1795,Breitenberg-Fahey,300 Minute(s),124890,4 Day(s),1216,4.64
1796,Bruen-Dietrich,179 Minute(s),175676,5 Day(s),69,3.77
1797,Gorczany and Sons,136 Minute(s),228595,7 Day(s),503,4.0
1798,Zboncak Inc,8 Minute(s),154241,5 Day(s),467,4.05
1799,Kiehn-Fritsch,1227 Minute(s),68576,5 Day(s),2186,3.32
1800,Schulist Group,219 Minute(s),153020,6 Day(s),1196,3.38
1801,"Schumm, Bergstrom and Jakubowski",1423 Minute(s),59332,4 Day(s),2227,3.23
1802,Abernathy-Prohaska,316 Minute(s),153570,6 Day(s),994,4.59
1803,Rath-Heidenreich,110 Minute(s),216128,5 Day(s),245,3.43
1804,Ziemann-Schinner,227 Minute(s),127998,4 Day(s),1313,3.89
1805,Padberg-Kunze,690 Minute(s),120887,4 Day(s),2329,2.46
1806,Gulgowski-Boehm,507 Minute(s),186532,6 Day(s),1116,3.53
1807,Schultz-Smitham,244 Minute(s),168396,7 Day(s),1161,4.23
1808,Kuhic-Braun,381 Minute(s),171027,6 Day(s),1145,3.32
1809,"Corkery, Huel and Hagenes",733 Minute(s),113868,4 Day(s),1886,4.09
1810,Schuppe and Sons,491 Minute(s),196088,5 Day(s),1385,3.17
1811,Mraz-Luettgen,191 Minute(s),229480,5 Day(s),728,4.82
1812,Larson LLC,1026 Minute(s),94154,3 Day(s),1721,3.19
1813,"Kerluke, Waelchi and Mueller",145 Minute(s),107147,5 Day(s),294,4.8
1814,MacGyver and Sons,1107 Minute(s),70144,4 Day(s),2351,3.28
1815,"Koepp, Cronin and Will",282 Minute(s),211585,5 Day(s),1025,3.23
1816,Murazik-Runolfsson,247 Minute(s),126689,6 Day(s),1250,4.77
1817,"Beatty, Hodkiewicz and Konopelski",1349 Minute(s),33590,4 Day(s),2018,2.86
1818,Mraz-Rippin,174 Minute(s),209441,7 Day(s),1302,3.93
1819,Hermann Group,870 Minute(s),60018,3 Day(s),2297,3.02
1820,Wintheiser-Veum,1059 Minute(s),79795,4 Day(s),1844,3.09
1821,"Haley, Wolf and Langworth",74 Minute(s),111298,5 Day(s),208,4.24
1822,"Wunsch, Marks and Swaniawski",253 Minute(s),135041,4 Day(s),903,4.34
1823,Rau-Gottlieb,479 Minute(s),207684,5 Day(s),1230,3.61
1824,Dickinson Group,1297 Minute(s),66507,5 Day(s),2225,3.08
1825,"Ruecker, Ernser and Kemmer",118 Minute(s),129045,6 Day(s),656,3.61
1826,"Lemke, Hoppe and Halvorson",338 Minute(s),225790,5 Day(s),338,3.44
1827,Hintz Group,407 Minute(s),184003,6 Day(s),1498,4.05
1828,Waelchi and Sons,14 Minute(s),138314,6 Day(s),198,3.27
1829,"Sipes, Botsford and Smith",1110 Minute(s),72260,5 Day(s),2748,3.49
1830,"Reynolds, Mayert and Mraz",6 Minute(s),265827,5 Day(s),49,3.95
1831,Abshire-Rippin,1111 Minute(s),90047,4 Day(s),1931,2.73
1832,Cartwright-Von,37 Minute(s),231030,5 Day(s),716,3.53
1833,Hane-Fisher,480 Minute(s),194120,5 Day(s),1189,3.53
1834,Breitenberg LLC,886 Minute(s),40919,2 Day(s),1944,3.02
1835,Pfeffer-Wolf,1035 Minute(s),31131,4 Day(s),1663,3.11
1836,"Fisher, Wehner and Dach",346 Minute(s),181364,6 Day(s),1245,4.36
1837,Treutel and Sons,152 Minute(s),178313,5 Day(s),743,4.74
1838,"Strosin, Bashirian and Muller",71 Minute(s),222204,7 Day(s),383,3.72
1839,Shanahan-Jakubowski,483 Minute(s),142529,6 Day(s),1478,4.42
1840,Jacobson Inc,214 Minute(s),248669,4 Day(s),997,4.9
1841,"Rempel, Erdman and Dare",1091 Minute(s),53821,5 Day(s),2287,3.5
1842,Dicki-Kautzer,17 Minute(s),262143,6 Day(s),86,3.74
1843,"Powlowski, Heaney and Stokes",465 Minute(s),151654,3 Day(s),1268,4.67
1844,Gerlach LLC,321 Minute(s),202608,6 Day(s),1195,4.88
1845,Gorczany-Walker,875 Minute(s),84555,2 Day(s),2973,3.46
1846,Zieme Group,12 Minute(s),207384,7 Day(s),127,4.05
1847,Kuvalis and Sons,1184 Minute(s),99065,3 Day(s),1840,3.2
1848,Littel LLC,136 Minute(s),205543,3 Day(s),1238,3.93
1849,Krajcik LLC,111 Minute(s),95781,6 Day(s),502,3.64
1850,Kassulke Group,1275 Minute(s),80326,3 Day(s),1742,3.21
1851,Bailey LLC,71 Minute(s),154917,5 Day(s),184,4.73
1852,"Rowe, Gulgowski and Schuster",29 Minute(s),287419,7 Day(s),116,4.62
1853,Tromp-Altenwerth,21 Minute(s),225413,6 Day(s),688,4.63
1854,Stamm-Friesen,88 Minute(s),235203,6 Day(s),177,4.8
1855,"Schimmel, Emard and Huels",26 Minute(s),229405,5 Day(s),379,3.72
1856,"Stroman, Collins and Wiegand",923 Minute(s),102902,3 Day(s),2081,3.97
1857,Thiel LLC,225 Minute(s),93523,7 Day(s),609,4.19
1858,Barrows-Beahan,377 Minute(s),67053,7 Day(s),1245,3.98
1859,Johnston LLC,156 Minute(s),84044,5 Day(s),17,4.82
1860,"Bradtke, DuBuque and Kovacek",91 Minute(s),168159,7 Day(s),383,3.56
1861,Nolan-Miller,198 Minute(s),71824,6 Day(s),1249,4.67
1862,Marvin Inc,372 Minute(s),179398,6 Day(s),1140,4.56
1863,"Hane, Dooley and D'Amore",134 Minute(s),277711,7 Day(s),316,4.91
1864,Towne-Block,96 Minute(s),206735,5 Day(s),699,4.97
1865,Yundt-Yost,64 Minute(s),197751,5 Day(s),730,4.04
1866,Barrows LLC,1203 Minute(s),75351,2 Day(s),2524,2.79
1867,Kihn-Mitchell,239 Minute(s),118281,7 Day(s),613,4.18
1868,Marks Group,1095 Minute(s),45281,3 Day(s),1581,2.8
1869,Schroeder-Harvey,198 Minute(s),160805,5 Day(s),1379,3.58
1870,Monahan-Lockman,118 Minute(s),222343,6 Day(s),41,3.85
1871,"Hoppe, Russel and Aufderhar",1151 Minute(s),77734,6 Day(s),1720,3.33
1872,"Friesen, Murray and O'Kon",13 Minute(s),227792,6 Day(s),329,4.37
1873,Rohan Group,371 Minute(s),172473,5 Day(s),1429,3.98
1874,Hartmann-Bergstrom,1018 Minute(s),84253,4 Day(s),2911,2.15
1875,"Ward, Gulgowski and Metz",79 Minute(s),113278,5 Day(s),418,4.1
1876,"Herman, Friesen and Little",56 Minute(s),234134,7 Day(s),671,4.09
1877,Leuschke and Sons,87 Minute(s),212235,5 Day(s),493,3.68
1878,Kuphal-Langworth,211 Minute(s),187631,5 Day(s),1411,4.02
1879,Kutch Group,301 Minute(s),102320,5 Day(s),907,3.48
1880,Schowalter-O'Keefe,62 Minute(s),95265,5 Day(s),746,4.9
1881,Medhurst-Stehr,96 Minute(s),106228,7 Day(s),441,4.55
1882,Shields Group,23 Minute(s),92114,6 Day(s),539,3.53
1883,"Marvin, Jacobs and Toy",1196 Minute(s),89166,3 Day(s),2082,3.41
1884,"Koelpin, Ankunding and Nolan",938 Minute(s),125821,5 Day(s),2005,3.8
1885,"Gorczany, Tillman and Crist",82 Minute(s),205606,5 Day(s),261,4.02
1886,Parisian-Schneider,658 Minute(s),46824,3 Day(s),1713,3.39
1887,"Frami, Thompson and Gusikowski",395 Minute(s),161098,5 Day(s),1270,3.16
1888,Miller-Moen,223 Minute(s),135499,5 Day(s),1349,4.69
1889,Ullrich-Spinka,1108 Minute(s),77860,5 Day(s),2587,2.35
1890,Moore and Sons,285 Minute(s),67353,7 Day(s),1029,4.65
1891,Reilly and Sons,608 Minute(s),52062,2 Day(s),1651,3.53
1892,"Kertzmann, Cummerata and Herman",133 Minute(s),89099,7 Day(s),153,4.51
1893,"Leuschke, Prohaska and Kihn",199 Minute(s),124085,5 Day(s),192,4.57
1894,Hirthe Inc,1373 Minute(s),72214,4 Day(s),2975,2.59
1895,"Gerhold, Feest and Hessel",661 Minute(s),52360,2 Day(s),2346,3.52
1896,Corwin-Stanton,92 Minute(s),215781,7 Day(s),508,4.26
1897,Lubowitz-Wolff,139 Minute(s),204728,6 Day(s),210,4.47
1898,McDermott and Sons,95 Minute(s),123599,7 Day(s),604,4.87
1899,Lesch-Strosin,871 Minute(s),93094,3 Day(s),1864,4.48
1900,Hagenes LLC,609 Minute(s),119052,4 Day(s),2403,3.52
1901,"Bednar, Beier and O'Kon",616 Minute(s),80578,2 Day(s),2802,2.35
1902,Adams-Renner,651 Minute(s),86606,6 Day(s),1506,3.38
1903,Orn-West,240 Minute(s),177086,5 Day(s),1152,4.02
1904,McDermott-Nicolas,1330 Minute(s),90753,3 Day(s),1642,4.29
1905,Gibson-Cremin,871 Minute(s),49747,4 Day(s),2031,3.24
1906,Reynolds Group,1343 Minute(s),80394,6 Day(s),2195,4.09
1907,"Blick, Haley and Prosacco",1200 Minute(s),116983,3 Day(s),1776,3.32
1908,Balistreri Group,369 Minute(s),175708,7 Day(s),522,3.77
1909,Borer LLC,899 Minute(s),81417,3 Day(s),2391,2.39
1910,Kirlin and Sons,1409 Minute(s),35910,2 Day(s),2211,3.93
1911,Hoppe LLC,182 Minute(s),167036,6 Day(s),1444,4.06
1912,Dibbert LLC,45 Minute(s),92970,6 Day(s),601,3.74
1913,Moen-Hudson,90 Minute(s),287463,7 Day(s),562,3.52
1914,Gislason Inc,1278 Minute(s),119143,2 Day(s),2272,2.16
1915,Labadie-Paucek,352 Minute(s),138237,5 Day(s),1357,4.24
1916,Bins-Halvorson,17 Minute(s),158076,6 Day(s),733,3.26
1917,Nader-Hilll,276 Minute(s),161112,7 Day(s),1018,4.27
1918,Legros Inc,266 Minute(s),202324,3 Day(s),1578,3.56
1919,"Toy, Bashirian and Schaefer",946 Minute(s),88142,5 Day(s),1525,3.11
1920,"Witting, Klein and Stamm",178 Minute(s),141860,7 Day(s),732,3.43
1921,McLaughlin-Feeney,1046 Minute(s),99577,5 Day(s),2033,3.16
1922,Nicolas-Rath,510 Minute(s),40392,4 Day(s),1572,3.8
1923,Rice Group,302 Minute(s),155570,6 Day(s),1291,4.33
1924,Botsford-Boyle,141 Minute(s),185822,7 Day(s),229,3.43
1925,Bruen-Nader,768 Minute(s),79957,4 Day(s),2934,2.26
1926,"Hills, Schroeder and Gaylord",250 Minute(s),127523,5 Day(s),917,3.89
1927,Lehner-Nolan,600 Minute(s),33819,4 Day(s),2280,3.85
1928,O'Kon-Hane,26 Minute(s),111255,7 Day(s),542,3.98
1929,Boyer-Strosin,1018 Minute(s),109156,2 Day(s),2463,2.89
1930,"Carroll, Kuhic and Fahey",379 Minute(s),176332,5 Day(s),1094,4.25
1931,Grady-Larkin,66 Minute(s),110061,5 Day(s),269,4.88
1932,Windler Group,166 Minute(s),160421,6 Day(s),400,4.86
1933,Wyman LLC,539 Minute(s),209657,4 Day(s),1370,4.23
1934,Bartell Group,354 Minute(s),160771,5 Day(s),1506,3.57
1935,"DuBuque, Haag and Ferry",533 Minute(s),152353,4 Day(s),1559,3.8
1936,"Hartmann, Strosin and Beahan",107 Minute(s),112079,7 Day(s),731,4.63
1937,Spencer-Torp,134 Minute(s),294145,6 Day(s),15,4.9
1938,"Schinner, Gerhold and Krajcik",274 Minute(s),128126,4 Day(s),1006,3.45
1939,"Beatty, DuBuque and Huel",272 Minute(s),136953,5 Day(s),1157,3.35
1940,Bartoletti and Sons,288 Minute(s),232346,5 Day(s),660,3.42
1941,"Pacocha, Stoltenberg and Bradtke",606 Minute(s),32761,5 Day(s),2371,2.82
1942,Ritchie LLC,1304 Minute(s),120847,6 Day(s),1558,3.79
1943,Lockman-Purdy,549 Minute(s),37208,3 Day(s),1823,3.99
1944,"Greenholt, Hermann and Howell",1274 Minute(s),54349,4 Day(s),1569,3.19
1945,Bechtelar-Hyatt,693 Minute(s),68957,4 Day(s),2544,2.82
1946,Cremin-Turner,550 Minute(s),72926,3 Day(s),1762,3.64
1947,Walker Group,189 Minute(s),169841,7 Day(s),1315,3.36
1948,Mann-Rippin,1335 Minute(s),56687,3 Day(s),2094,3.59
1949,Murray-Koss,448 Minute(s),198166,6 Day(s),1175,4.06
1950,Hermann-Schiller,80 Minute(s),127192,5 Day(s),176,3.93
1951,"Crist, Schoen and Zulauf",423 Minute(s),173361,5 Day(s),1207,3.88
1952,"Volkman, Goyette and Mitchell",516 Minute(s),59067,3 Day(s),1887,2.87
1953,West-Denesik,239 Minute(s),72538,5 Day(s),392,3.71
1954,Altenwerth Inc,1367 Minute(s),84272,5 Day(s),1639,2.79
1955,Kautzer and Sons,468 Minute(s),215136,7 Day(s),1373,4.36
1956,"Aufderhar, Mante and DuBuque",76 Minute(s),238714,7 Day(s),483,4.48
1957,Bechtelar-Senger,874 Minute(s),37940,3 Day(s),1968,3.78
1958,Crist Inc,26 Minute(s),110757,4 Day(s),52,4.89
1959,Smith and Sons,281 Minute(s),112261,4 Day(s),1066,3.41
1960,Ebert-Hauck,891 Minute(s),32313,2 Day(s),1515,2.99
1961,Kassulke-Daugherty,154 Minute(s),241115,6 Day(s),486,4.1
1962,"Gerlach, Bauch and Nikolaus",1119 Minute(s),81026,5 Day(s),2969,2.33
1963,Friesen-Roberts,422 Minute(s),199404,6 Day(s),1587,3.79
1964,"Schinner, Schuppe and Trantow",60 Minute(s),203173,7 Day(s),171,4.73
1965,Fritsch-Howell,689 Minute(s),36746,3 Day(s),1895,2.87
1966,Thompson-Wehner,749 Minute(s),38742,2 Day(s),2337,4.08
1967,Konopelski LLC,42 Minute(s),74422,4 Day(s),115,3.53
1968,"Keebler, Rippin and Koch",222 Minute(s),185741,6 Day(s),1200,4.53
1969,Okuneva-O'Reilly,485 Minute(s),191688,5 Day(s),113,4.68
1970,Toy Inc,385 Minute(s),168936,5 Day(s),1135,4.08
1971,O'Conner-Fahey,1361 Minute(s),75560,3 Day(s),1935,3.08
1972,Ledner-Kulas,495 Minute(s),158864,6 Day(s),1352,3.94
1973,"Reynolds, Gislason and Witting",1420 Minute(s),67238,4 Day(s),2048,3.1
1974,Nader-Kihn,583 Minute(s),36481,5 Day(s),2093,3.1
1975,Ritchie Group,287 Minute(s),216517,5 Day(s),1339,4.43
1976,Schamberger Group,264 Minute(s),209579,6 Day(s),1041,3.71
1977,Hilll LLC,529 Minute(s),132699,4 Day(s),1404,4.07
1978,O'Hara-Swaniawski,138 Minute(s),101571,7 Day(s),498,4.48
1979,Rolfson Inc,126 Minute(s),229093,7 Day(s),446,4.0
1980,Deckow-Skiles,661 Minute(s),101619,3 Day(s),1765,4.01
1981,Flatley Inc,168 Minute(s),88988,5 Day(s),618,4.76
