id,store_name,average_response_time,successful_transactions,number_of_workday,cancelled_transactions,average_review_score
1260,Green and Sons,388 Minute(s),204325,5 Day(s),1212,4.39
1261,Hansen Inc,95 Minute(s),101668,6 Day(s),1115,4.17
1262,Willms-Wisoky,423 Minute(s),212257,7 Day(s),1337,3.54
1263,Lehner-Adams,1103 Minute(s),68573,4 Day(s),2120,3.64
1264,"Klein, Ledner and Rosenbaum",1418 Minute(s),32776,4 Day(s),1754,3.31
1265,Hyatt-Towne,195 Minute(s),289423,4 Day(s),406,2.4
1266,"O'Connell, Gaylord and Rau",154 Minute(s),207055,6 Day(s),634,4.94
1267,Dare and Sons,51 Minute(s),262873,5 Day(s),471,4.41
1268,Denesik Inc,14 Minute(s),160531,4 Day(s),88,3.37
1269,Ledner-Ebert,701 Minute(s),53529,4 Day(s),2600,4.1
1270,Stokes-Durgan,97 Minute(s),271353,4 Day(s),2731,2.55
1271,Hyatt-Rowe,318 Minute(s),181133,6 Day(s),1101,3.15
1272,McDermott-Gutkowski,65 Minute(s),244010,3 Day(s),2742,2.89
1273,Kassulke LLC,768 Minute(s),118800,5 Day(s),2972,2.67
1274,"Crooks, Runte and Hilll",1137 Minute(s),49191,2 Day(s),2582,3.04
1275,"Skiles, Kuhn and Kutch",164 Minute(s),154783,5 Day(s),1164,4.09
1276,O'Hara-Stanton,80 Minute(s),296183,6 Day(s),105,3.89
1277,Davis-Medhurst,178 Minute(s),282737,6 Day(s),383,4.63
1278,Blanda-Kertzmann,81 Minute(s),261123,3 Day(s),564,2.92
1279,Stehr Group,118 Minute(s),221061,5 Day(s),561,4.37
1280,Champlin-Sawayn,333 Minute(s),161892,5 Day(s),1292,4.22
1281,Fay and Sons,832 Minute(s),86479,4 Day(s),2582,2.78
1282,Hayes and Sons,126 Minute(s),195530,5 Day(s),522,3.57
1283,"Ortiz, Beier and Cronin",61 Minute(s),243688,6 Day(s),424,3.64
1284,"O'Reilly, Schamberger and Dietrich",82 Minute(s),237672,4 Day(s),709,4.49
1285,"Deckow, Roob and Volkman",377 Minute(s),178866,6 Day(s),1151,3.98
1286,"Conroy, McLaughlin and Keeling",188 Minute(s),116489,5 Day(s),468,4.79
1287,"Watsica, Haag and Bartoletti",172 Minute(s),104946,5 Day(s),344,4.33
1288,"Reynolds, Mayert and Mraz",6 Minute(s),265827,5 Day(s),49,3.95
1289,Gislason-Beatty,60 Minute(s),130210,7 Day(s),381,4.45
1290,Mohr-Borer,362 Minute(s),189909,6 Day(s),1286,4.15
1291,"Cassin, Veum and Swaniawski",1317 Minute(s),47378,3 Day(s),1614,3.55
1292,Zboncak Inc,109 Minute(s),90655,5 Day(s),318,4.75
1293,"Schoen, West and Blanda",29 Minute(s),225454,7 Day(s),312,4.39
1294,Schowalter Inc,945 Minute(s),96183,5 Day(s),1986,3.2
1295,"Kuvalis, Abshire and Barrows",198 Minute(s),100888,5 Day(s),357,3.52
1296,"Jaskolski, Lakin and Brekke",62 Minute(s),289045,7 Day(s),548,4.38
1297,"Jacobi, Romaguera and Hickle",192 Minute(s),265624,3 Day(s),532,3.03
1298,"Leannon, Johnston and Parisian",326 Minute(s),166897,5 Day(s),1112,3.16
1299,Morar-McLaughlin,511 Minute(s),161904,6 Day(s),1184,3.86
1300,"Schulist, Conn and Kuhn",1099 Minute(s),42950,2 Day(s),1934,3.52
1301,"Vandervort, Halvorson and Zemlak",352 Minute(s),146291,6 Day(s),1172,3.39
1302,Dach-Stracke,1 Minute(s),75540,7 Day(s),541,3.58
1303,"Toy, Bashirian and Schaefer",946 Minute(s),88142,5 Day(s),1525,3.11
1304,"Gerlach, Nolan and Cummerata",1050 Minute(s),63544,4 Day(s),2173,2.88
1305,Little LLC,623 Minute(s),36953,3 Day(s),1607,3.2
1306,"Hermann, Spinka and Dietrich",418 Minute(s),130478,3 Day(s),1104,3.83
1307,"Koss, Nitzsche and Funk",83 Minute(s),223627,3 Day(s),2819,3.03
1308,Torp and Sons,134 Minute(s),298935,4 Day(s),2490,2.86
1309,Rau Inc,595 Minute(s),39603,5 Day(s),1876,3.46
1310,Leuschke-Langosh,685 Minute(s),125534,5 Day(s),2038,4.23
1311,Wiza-Leffler,555 Minute(s),198691,5 Day(s),957,3.97
1312,McLaughlin-Kunde,103 Minute(s),246056,4 Day(s),157,2.36
1313,Bruen and Sons,971 Minute(s),90852,6 Day(s),1595,3.99
1314,"Borer, Hegmann and Gulgowski",477 Minute(s),139036,6 Day(s),1600,3.77
1315,"Koepp, Becker and Cormier",250 Minute(s),182041,6 Day(s),1296,3.55
1316,Hilpert-Hoeger,125 Minute(s),227673,6 Day(s),415,4.66
1317,Dietrich-Dach,369 Minute(s),220520,4 Day(s),1351,4.29
1318,"Dooley, Doyle and Schamberger",1021 Minute(s),62824,4 Day(s),2289,3.14
1319,"Nitzsche, Huel and Bashirian",109 Minute(s),270154,3 Day(s),2667,2.35
1320,Ebert-Hauck,891 Minute(s),32313,2 Day(s),1515,2.99
1321,Legros Group,1008 Minute(s),95346,4 Day(s),1688,2.82
1322,Adams and Sons,367 Minute(s),198586,5 Day(s),1156,3.99
1323,"Tremblay, Koepp and Streich",334 Minute(s),194689,6 Day(s),1278,3.33
1324,"Hirthe, Zboncak and Homenick",89 Minute(s),97879,5 Day(s),217,3.6
1325,"Hand, Zboncak and Schowalter",139 Minute(s),234325,3 Day(s),2294,2.13
1326,"Bradtke, Raynor and Thompson",418 Minute(s),178376,6 Day(s),1335,4.4
1327,Howe and Sons,519 Minute(s),159114,5 Day(s),1100,4.59
1328,"Wyman, Kilback and Murazik",650 Minute(s),43404,4 Day(s),1838,3.04
1329,Sipes Inc,267 Minute(s),145026,4 Day(s),1590,4.31
1330,Davis LLC,61 Minute(s),153906,4 Day(s),40,4.59
1331,Crist Inc,26 Minute(s),110757,4 Day(s),52,4.89
1332,"McDermott, Beer and Schneider",129 Minute(s),241448,6 Day(s),28,4.38
1333,Turcotte-Little,378 Minute(s),186509,7 Day(s),1246,3.45
1334,"Quigley, Boehm and Konopelski",726 Minute(s),35723,2 Day(s),2193,3.22
1335,Cartwright-Kihn,513 Minute(s),153859,5 Day(s),1149,3.13
1336,Kemmer-Jast,1061 Minute(s),125925,6 Day(s),1622,3.56
1337,"Grady, Lynch and Reichert",228 Minute(s),122212,4 Day(s),1394,3.68
1338,"Bartoletti, Funk and Rath",1034 Minute(s),129918,6 Day(s),1931,3.44
1339,Roob-Medhurst,1026 Minute(s),65569,2 Day(s),2332,3.97
1340,Casper Group,251 Minute(s),163983,5 Day(s),1358,4.06
1341,Hintz-Terry,303 Minute(s),197699,5 Day(s),1424,4.64
1342,Torp and Sons,687 Minute(s),63356,3 Day(s),2215,3.99
1343,"Keebler, Rippin and Koch",222 Minute(s),185741,6 Day(s),1200,4.53
1344,Ullrich-Crooks,1109 Minute(s),98971,5 Day(s),2323,2.24
1345,Adams-Bergnaum,1418 Minute(s),73319,5 Day(s),1804,3.24
1346,Romaguera-Bradtke,344 Minute(s),194740,6 Day(s),1163,4.5
1347,Von-Smitham,90 Minute(s),101823,5 Day(s),469,4.26
1348,"Pollich, Breitenberg and Toy",133 Minute(s),117611,7 Day(s),347,4.26
1349,Hand LLC,618 Minute(s),59818,4 Day(s),2110,3.35
1350,"Trantow, Berge and Howe",142 Minute(s),259121,6 Day(s),344,4.4
1351,Schuster and Sons,498 Minute(s),157576,3 Day(s),1061,3.75
1352,Vandervort Group,513 Minute(s),51342,2 Day(s),2152,3.79
1353,Nitzsche Group,849 Minute(s),47113,5 Day(s),2259,3.35
1354,Yundt Inc,164 Minute(s),142239,5 Day(s),572,4.93
1355,O'Conner-Cartwright,996 Minute(s),76462,5 Day(s),1807,2.98
1356,Hermiston LLC,2 Minute(s),138911,7 Day(s),326,4.57
1357,"Howell, Heller and White",384 Minute(s),100785,6 Day(s),1040,3.65
1358,Mills-Gusikowski,46 Minute(s),202854,7 Day(s),632,3.59
1359,Grant Group,58 Minute(s),255846,5 Day(s),619,3.55
1360,Schuppe Inc,792 Minute(s),57349,5 Day(s),1731,3.34
1361,"Gutkowski, Lind and Becker",1153 Minute(s),40841,5 Day(s),1562,3.38
1362,Graham-Gerhold,139 Minute(s),163671,4 Day(s),164,4.84
1363,Lind LLC,1231 Minute(s),64343,3 Day(s),1931,4.18
1364,"Lehner, Muller and Ryan",179 Minute(s),211514,7 Day(s),569,3.61
1365,Monahan-Bechtelar,1134 Minute(s),76349,5 Day(s),1598,2.76
1366,"Hessel, Pfeffer and Dibbert",445 Minute(s),176014,5 Day(s),1105,3.92
1367,Simonis and Sons,402 Minute(s),179951,5 Day(s),1468,4.19
1368,Considine-Becker,781 Minute(s),99589,4 Day(s),2135,3.76
1369,Adams-Goyette,226 Minute(s),176279,6 Day(s),1224,4.02
1370,Bahringer and Sons,67 Minute(s),72233,7 Day(s),487,4.71
1371,Trantow-Reynolds,144 Minute(s),124627,6 Day(s),19,4.96
1372,Williamson-Wolff,85 Minute(s),88088,6 Day(s),646,4.38
1373,"Anderson, Feeney and Homenick",195 Minute(s),148564,6 Day(s),1363,4.18
1374,"Block, Huels and Lubowitz",109 Minute(s),79178,5 Day(s),511,4.22
1375,Mann-Cormier,333 Minute(s),160056,5 Day(s),1227,3.76
1376,Fay Group,659 Minute(s),31214,4 Day(s),1865,3.29
1377,"Yost, Nicolas and Blick",919 Minute(s),58109,6 Day(s),2177,3.31
1378,Rowe LLC,1072 Minute(s),121352,3 Day(s),1705,4.27
1379,Rowe-Wisozk,897 Minute(s),43219,4 Day(s),1857,3.11
1380,Heidenreich-Wolf,677 Minute(s),47043,2 Day(s),1588,4.1
1381,Reichert-MacGyver,287 Minute(s),114899,4 Day(s),1086,3.93
1382,"Mraz, Fahey and Price",1304 Minute(s),56527,6 Day(s),1535,3.94
1383,"Brekke, Gorczany and Morar",343 Minute(s),103480,4 Day(s),706,3.63
1384,Mraz-Rippin,174 Minute(s),209441,7 Day(s),1302,3.93
1385,Jones-Cummerata,29 Minute(s),202208,6 Day(s),187,3.9
1386,"D'Amore, Murazik and Runolfsdottir",133 Minute(s),242637,6 Day(s),426,3.56
1387,Fisher LLC,1145 Minute(s),89366,4 Day(s),2363,2.33
1388,"Marvin, Nitzsche and Torphy",489 Minute(s),195131,5 Day(s),1256,4.58
1389,McLaughlin-Zemlak,628 Minute(s),40548,3 Day(s),1556,2.8
1390,Dickens-DuBuque,92 Minute(s),289755,6 Day(s),279,3.6
1391,Spencer-Upton,501 Minute(s),143731,4 Day(s),1122,4.45
1392,Tremblay LLC,169 Minute(s),182362,6 Day(s),1273,3.84
1393,Kuvalis Group,188 Minute(s),187630,6 Day(s),1269,3.68
1394,Maggio Group,1043 Minute(s),102120,3 Day(s),1662,3.63
1395,Funk LLC,1280 Minute(s),62360,5 Day(s),1711,3.29
1396,"Funk, Altenwerth and Frami",942 Minute(s),61211,3 Day(s),2165,3.59
1397,Moore-Harvey,1211 Minute(s),75861,2 Day(s),2307,3.48
1398,Howell Inc,67 Minute(s),147257,4 Day(s),565,3.22
1399,"Mann, Schumm and Hoppe",6 Minute(s),267164,5 Day(s),322,4.9
1400,Champlin Inc,40 Minute(s),231676,3 Day(s),206,2.87
1401,Jones and Sons,333 Minute(s),58328,4 Day(s),746,4.25
1402,"Schowalter, Gorczany and Lubowitz",1212 Minute(s),119794,3 Day(s),2968,2.24
1403,Romaguera-Kutch,117 Minute(s),196767,6 Day(s),632,3.24
1404,Morissette Inc,458 Minute(s),137103,5 Day(s),1249,4.08
1405,"Rogahn, Stark and Hettinger",37 Minute(s),230185,5 Day(s),351,3.56
1406,"Rosenbaum, Barrows and Shields",1247 Minute(s),124820,4 Day(s),1894,4.45
1407,"Heidenreich, Leffler and Johnston",104 Minute(s),298399,4 Day(s),585,2.51
1408,"Veum, Hettinger and Haag",27 Minute(s),295857,7 Day(s),76,4.03
1409,Funk-Dach,36 Minute(s),253340,5 Day(s),197,4.52
1410,Greenfelder Group,885 Minute(s),60997,4 Day(s),1804,4.24
1411,Hand and Sons,1430 Minute(s),64402,3 Day(s),1974,2.88
1412,Klein and Sons,913 Minute(s),45574,3 Day(s),1957,3.94
1413,"Labadie, Abbott and Batz",560 Minute(s),160441,6 Day(s),1360,4.41
1414,Stiedemann Inc,380 Minute(s),125084,4 Day(s),1114,4.17
1415,Harvey-Kovacek,95 Minute(s),276162,4 Day(s),76,2.18
1416,Baumbach and Sons,206 Minute(s),170765,5 Day(s),1096,4.09
1417,"Bahringer, Schneider and King",583 Minute(s),114822,4 Day(s),2127,4.41
1418,Ledner-Dach,537 Minute(s),184041,7 Day(s),1316,4.28
1419,Kirlin-McDermott,124 Minute(s),217523,5 Day(s),155,4.53
1420,"McClure, Bernier and Swift",175 Minute(s),187174,7 Day(s),1368,4.12
1421,"Lind, Schmitt and Ankunding",220 Minute(s),231481,7 Day(s),617,3.63
1422,Stokes Group,270 Minute(s),100921,6 Day(s),1116,4.48
1423,Rau Inc,79 Minute(s),212529,4 Day(s),343,4.38
1424,Cremin-Turner,550 Minute(s),72926,3 Day(s),1762,3.64
1425,Blick-Jacobi,749 Minute(s),127476,5 Day(s),2002,4.1
1426,Reinger and Sons,319 Minute(s),219976,6 Day(s),1183,4.21
1427,Schumm and Sons,430 Minute(s),232661,4 Day(s),470,4.28
1428,Deckow LLC,240 Minute(s),111036,6 Day(s),142,4.51
1429,"Wintheiser, Mann and Jacobson",377 Minute(s),159660,4 Day(s),1599,4.14
1430,Kertzmann LLC,154 Minute(s),115366,7 Day(s),132,4.91
1431,Pacocha and Sons,828 Minute(s),40037,3 Day(s),2094,3.05
1432,Kreiger-Hayes,1239 Minute(s),83820,4 Day(s),2824,3.56
1433,Wyman-Gulgowski,218 Minute(s),99863,7 Day(s),684,3.94
1434,Shanahan-Lemke,413 Minute(s),214881,5 Day(s),1187,4.29
1435,"West, Hoppe and Connelly",28 Minute(s),207133,7 Day(s),390,4.55
1436,Ledner Inc,1157 Minute(s),115112,4 Day(s),1603,3.47
1437,Bernier Inc,1055 Minute(s),122580,4 Day(s),2375,2.27
1438,Feeney Inc,434 Minute(s),85937,5 Day(s),628,3.23
1439,"Klein, McKenzie and Erdman",193 Minute(s),168895,4 Day(s),1154,3.44
1440,Murphy Inc,502 Minute(s),190355,5 Day(s),1271,3.42
1441,Huels Group,309 Minute(s),50042,4 Day(s),11,3.6
1442,Kozey-Runte,394 Minute(s),143094,6 Day(s),1163,3.2
1443,Muller Group,1386 Minute(s),81263,2 Day(s),2259,2.85
1444,Turcotte Group,141 Minute(s),247907,6 Day(s),513,4.41
1445,"Walsh, Walsh and Kilback",328 Minute(s),165355,5 Day(s),1288,4.51
1446,Rogahn Inc,445 Minute(s),151995,3 Day(s),989,3.84
1447,"Gorczany, Bosco and Pfeffer",1125 Minute(s),55455,6 Day(s),1685,4.01
1448,"Mayer, Moore and Fahey",27 Minute(s),82244,5 Day(s),137,3.8
1449,Cummerata Group,8 Minute(s),240914,4 Day(s),2645,2.53
1450,Schinner-Jacobs,1431 Minute(s),48926,4 Day(s),1951,3.35
1451,Pagac-Pouros,59 Minute(s),104395,5 Day(s),42,3.87
1452,Murphy Group,810 Minute(s),53010,3 Day(s),2298,3.61
1453,West-Mayert,134 Minute(s),163582,4 Day(s),399,4.09
1454,Mayert LLC,1103 Minute(s),31246,4 Day(s),1971,2.97
1455,Kub LLC,528 Minute(s),199407,3 Day(s),1273,3.85
1456,"Robel, Wunsch and Lubowitz",799 Minute(s),106059,4 Day(s),1612,3.72
1457,Russel and Sons,182 Minute(s),165739,5 Day(s),1213,4.93
1458,Terry-Hintz,199 Minute(s),215467,5 Day(s),1391,3.43
1459,Krajcik-Funk,721 Minute(s),83549,4 Day(s),2100,3.26
1460,McClure LLC,476 Minute(s),219482,3 Day(s),1127,4.26
1461,"Haley, Jacobson and Nolan",1304 Minute(s),58928,5 Day(s),2219,3.34
1462,"Kilback, Haag and Conroy",1322 Minute(s),75189,5 Day(s),1733,2.7
1463,Towne-Kuphal,77 Minute(s),296240,4 Day(s),2366,2.12
1464,"White, Johnson and Boehm",364 Minute(s),180111,7 Day(s),1206,4.44
1465,"Oberbrunner, Kunze and Nikolaus",293 Minute(s),133380,4 Day(s),1501,4.47
1466,Paucek-Bosco,758 Minute(s),68381,5 Day(s),1557,3.33
1467,Kautzer-Veum,214 Minute(s),173890,6 Day(s),1124,3.55
1468,Legros-Turner,37 Minute(s),222103,7 Day(s),258,3.86
1469,Boehm-Schiller,1152 Minute(s),97070,3 Day(s),2566,2.83
1470,Ferry Group,56 Minute(s),266879,4 Day(s),113,2.79
1471,"Nitzsche, Harris and Mills",474 Minute(s),163189,5 Day(s),1318,3.55
1472,"Erdman, Murray and Braun",597 Minute(s),47412,2 Day(s),1941,2.95
1473,"Weber, Kutch and Stokes",1110 Minute(s),65835,6 Day(s),1564,3.85
1474,Auer-Kub,179 Minute(s),203526,6 Day(s),1349,3.82
1475,McDermott-Nicolas,1330 Minute(s),90753,3 Day(s),1642,4.29
1476,O'Hara and Sons,693 Minute(s),68227,5 Day(s),2139,3.32
1477,Rippin LLC,83 Minute(s),88818,5 Day(s),386,4.87
1478,Heller LLC,336 Minute(s),158413,6 Day(s),1585,3.75
1479,"Kshlerin, Herzog and Lubowitz",1016 Minute(s),68374,4 Day(s),1671,3.37
1480,"Walter, Lemke and Shanahan",378 Minute(s),142753,3 Day(s),1239,3.77
1481,Abbott Group,57 Minute(s),182638,7 Day(s),776,3.54
1482,Powlowski Group,1129 Minute(s),85443,3 Day(s),2119,3.38
1483,McKenzie Inc,1 Minute(s),268290,6 Day(s),24,4.45
1484,Wintheiser LLC,971 Minute(s),110476,6 Day(s),1913,3.57
1485,"Moore, Dietrich and Prohaska",5 Minute(s),230868,4 Day(s),2398,2.81
1486,Klocko-Schneider,493 Minute(s),124076,5 Day(s),363,3.83
1487,Boehm-Sauer,181 Minute(s),275829,3 Day(s),2158,2.58
1488,"Bernhard, Schuster and Hansen",94 Minute(s),208290,6 Day(s),114,3.92
1489,Heidenreich LLC,294 Minute(s),205944,5 Day(s),550,3.37
1490,Smith and Sons,281 Minute(s),112261,4 Day(s),1066,3.41
1491,Kirlin and Sons,1409 Minute(s),35910,2 Day(s),2211,3.93
1492,Hagenes-Bartoletti,1288 Minute(s),86065,4 Day(s),1575,3.19
1493,Lehner and Sons,1199 Minute(s),46568,4 Day(s),1871,3.23
1494,"Trantow, Moen and Ankunding",1003 Minute(s),109050,3 Day(s),1724,4.0
1495,"Herzog, Walker and Jerde",334 Minute(s),227256,4 Day(s),1020,4.35
1496,Maggio and Sons,59 Minute(s),221329,5 Day(s),660,4.96
1497,Adams-O'Keefe,275 Minute(s),225895,6 Day(s),1374,4.52
1498,Kunze and Sons,65 Minute(s),182692,4 Day(s),663,4.35
1499,"Bruen, Cronin and Purdy",280 Minute(s),188460,6 Day(s),1486,3.35
1500,Kassulke-McLaughlin,98 Minute(s),144944,6 Day(s),768,4.07
1501,Breitenberg Group,795 Minute(s),67886,4 Day(s),1634,3.3
1502,McGlynn-Luettgen,912 Minute(s),125710,5 Day(s),1575,4.09
1503,"Turcotte, Weimann and Treutel",262 Minute(s),186404,4 Day(s),1095,4.61
1504,"Cummerata, Okuneva and Schowalter",207 Minute(s),76961,7 Day(s),634,3.97
1505,Davis-Wisozk,115 Minute(s),96323,5 Day(s),672,4.51
1506,McGlynn-Reinger,208 Minute(s),192895,6 Day(s),1032,3.68
1507,"Rempel, Predovic and Metz",77 Minute(s),155673,5 Day(s),114,4.97
1508,Waters Inc,597 Minute(s),75474,3 Day(s),1812,4.18
1509,Pollich-Stoltenberg,1056 Minute(s),30950,4 Day(s),1841,2.99
1510,Adams Group,172 Minute(s),208909,7 Day(s),432,4.44
1511,Padberg and Sons,487 Minute(s),191460,4 Day(s),579,4.26
1512,Fay and Sons,10 Minute(s),226658,3 Day(s),2734,2.11
1513,Bartoletti-Durgan,1302 Minute(s),88331,4 Day(s),2835,2.17
1514,"Nienow, Labadie and Wolf",481 Minute(s),206255,5 Day(s),1199,4.03
1515,Torphy Inc,184 Minute(s),229475,4 Day(s),124,3.0
1516,Hane-Aufderhar,244 Minute(s),149487,6 Day(s),1070,4.87
1517,"Bergnaum, Wiza and Schumm",212 Minute(s),104905,6 Day(s),667,4.05
1518,"Bailey, Schamberger and Brekke",231 Minute(s),183822,6 Day(s),1115,3.12
1519,Kirlin-Gleichner,464 Minute(s),77192,5 Day(s),1358,4.33
1520,Moore-Pollich,271 Minute(s),224997,6 Day(s),1131,4.04
1521,"DuBuque, Pacocha and Hudson",535 Minute(s),156043,7 Day(s),1148,3.37
1522,Harris Inc,383 Minute(s),198282,6 Day(s),1403,4.06
1523,Davis-Crist,50 Minute(s),200298,7 Day(s),159,3.81
1524,Brown and Sons,2 Minute(s),200715,7 Day(s),586,4.1
1525,Howell LLC,55 Minute(s),247594,6 Day(s),607,4.1
1526,Green-Carroll,157 Minute(s),264271,3 Day(s),2336,2.98
1527,Luettgen LLC,115 Minute(s),236610,3 Day(s),184,2.93
1528,Lubowitz-Runolfsdottir,192 Minute(s),220239,4 Day(s),2420,2.98
1529,McDermott LLC,569 Minute(s),149999,5 Day(s),1058,4.62
1530,Stokes-Pfannerstill,384 Minute(s),144118,4 Day(s),1252,3.39
1531,"Rutherford, Stanton and Cole",557 Minute(s),165127,5 Day(s),1105,4.25
1532,Breitenberg Group,478 Minute(s),132613,6 Day(s),1480,4.49
1533,Sporer-Luettgen,219 Minute(s),76714,5 Day(s),750,4.87
1534,Mills Group,103 Minute(s),281927,7 Day(s),693,4.4
1535,Harvey-Erdman,210 Minute(s),197856,7 Day(s),1279,4.4
1536,"Balistreri, Mitchell and Glover",307 Minute(s),205395,3 Day(s),1136,4.64
1537,Rippin Inc,672 Minute(s),121983,2 Day(s),2484,2.95
1538,"Skiles, Wiza and Hoppe",306 Minute(s),226539,4 Day(s),1183,4.7
1539,Baumbach-Torp,211 Minute(s),125003,7 Day(s),656,4.0
1540,Hessel-Kunde,1039 Minute(s),41816,2 Day(s),1918,2.87
1541,Fahey and Sons,34 Minute(s),94700,6 Day(s),618,3.54
1542,Ritchie Inc,202 Minute(s),121729,7 Day(s),655,4.16
1543,Waters Group,311 Minute(s),215057,5 Day(s),1486,4.19
1544,Stokes-Streich,1283 Minute(s),72373,3 Day(s),2052,2.71
1545,Kiehn-Lebsack,367 Minute(s),120843,5 Day(s),1304,3.58
1546,Sporer and Sons,566 Minute(s),153579,7 Day(s),1357,3.26
1547,Gorczany-Reichel,1066 Minute(s),30281,4 Day(s),2543,3.87
1548,Lynch and Sons,417 Minute(s),199214,5 Day(s),1399,3.16
1549,Kuvalis-Skiles,1402 Minute(s),115219,5 Day(s),2470,2.25
1550,Jones LLC,80 Minute(s),298120,3 Day(s),2713,2.55
1551,Hirthe-Stamm,587 Minute(s),33034,5 Day(s),1901,3.44
1552,"Nader, Stiedemann and Reilly",333 Minute(s),171426,6 Day(s),6,4.0
1553,King-Satterfield,680 Minute(s),43393,5 Day(s),2217,3.57
1554,Kris-Bruen,553 Minute(s),74658,5 Day(s),1707,3.14
1555,Schimmel-White,1269 Minute(s),67052,2 Day(s),2175,2.84
1556,Brakus and Sons,765 Minute(s),107237,4 Day(s),2304,2.82
1557,"Rempel, Koepp and Vandervort",793 Minute(s),55768,5 Day(s),1695,2.73
1558,Carroll-Walker,213 Minute(s),191586,4 Day(s),1489,3.92
1559,Nicolas LLC,386 Minute(s),165866,5 Day(s),1169,4.52
1560,Kiehn LLC,78 Minute(s),160032,7 Day(s),224,3.4
1561,"Bins, Mayer and Rice",209 Minute(s),126699,5 Day(s),936,3.65
1562,Okuneva Group,48 Minute(s),176881,4 Day(s),565,3.23
1563,Gleason Group,173 Minute(s),292183,3 Day(s),232,2.95
1564,"Turcotte, Gusikowski and Huels",44 Minute(s),272855,3 Day(s),562,2.41
1565,Kessler Inc,879 Minute(s),65809,6 Day(s),1745,3.77
1566,Kozey and Sons,1014 Minute(s),40603,5 Day(s),1905,3.25
1567,Bednar and Sons,1073 Minute(s),50348,3 Day(s),1758,2.89
1568,Tromp Inc,102 Minute(s),229481,7 Day(s),132,4.27
1569,Douglas Group,152 Minute(s),187241,7 Day(s),692,4.95
1570,Jaskolski Group,1065 Minute(s),46485,3 Day(s),2091,2.73
1571,"Barton, Padberg and Corwin",232 Minute(s),201718,3 Day(s),943,4.55
1572,Reinger-Blick,350 Minute(s),122485,7 Day(s),239,3.38
1573,Mraz-Mosciski,158 Minute(s),255003,4 Day(s),2560,2.76
1574,"Heaney, Sauer and Durgan",1107 Minute(s),87808,4 Day(s),2852,2.21
1575,"Yundt, Murray and Bruen",1122 Minute(s),76514,5 Day(s),2652,2.87
1576,Bashirian-Boyle,849 Minute(s),100642,5 Day(s),2849,3.18
1577,Mueller Inc,1092 Minute(s),120047,3 Day(s),2892,2.52
1578,"Crist, Schoen and Zulauf",423 Minute(s),173361,5 Day(s),1207,3.88
1579,"Jacobson, Hermiston and Keeling",468 Minute(s),213969,6 Day(s),1272,4.33
1580,Schiller LLC,62 Minute(s),286950,3 Day(s),391,2.8
1581,Ernser and Sons,155 Minute(s),105591,6 Day(s),401,3.77
1582,Grady-Wilkinson,631 Minute(s),48673,5 Day(s),2021,4.01
1583,Hudson-Adams,342 Minute(s),224742,4 Day(s),1175,3.21
1584,Kovacek and Sons,1119 Minute(s),98052,2 Day(s),2411,2.52
1585,Wiza and Sons,257 Minute(s),190179,4 Day(s),421,3.2
1586,Hoppe and Sons,307 Minute(s),172659,5 Day(s),1482,4.24
1587,Beahan-Ondricka,123 Minute(s),107295,4 Day(s),1265,3.54
1588,"O'Conner, Langworth and Lowe",328 Minute(s),161467,6 Day(s),1251,3.58
1589,"Dickinson, Parker and Bode",986 Minute(s),62626,4 Day(s),1594,2.98
1590,Rice Group,302 Minute(s),155570,6 Day(s),1291,4.33
1591,Stanton-West,581 Minute(s),105707,5 Day(s),1862,3.91
1592,Glover and Sons,1409 Minute(s),73029,6 Day(s),1802,3.7
1593,Aufderhar LLC,985 Minute(s),71720,3 Day(s),2051,3.38
1594,Yundt LLC,69 Minute(s),196385,5 Day(s),761,3.69
1595,Kihn Group,73 Minute(s),159377,7 Day(s),233,4.37
1596,Reichel Group,1433 Minute(s),87942,4 Day(s),1774,3.73
1597,"Heathcote, Gorczany and Abshire",955 Minute(s),107560,4 Day(s),1764,4.12
1598,Price-Larkin,996 Minute(s),41585,5 Day(s),1682,3.15
1599,"Johnson, Goldner and Russel",174 Minute(s),79090,6 Day(s),409,3.78
1600,"Kertzmann, Goldner and Steuber",239 Minute(s),160414,4 Day(s),1152,4.88
1601,Wehner-Feeney,1353 Minute(s),62903,5 Day(s),1841,4.15
1602,Lemke Group,1052 Minute(s),52732,4 Day(s),1588,2.86
1603,Wehner-Pfannerstill,76 Minute(s),163595,4 Day(s),1080,3.52
1604,Doyle-Rolfson,1117 Minute(s),57343,4 Day(s),1703,3.69
1605,Hackett-Willms,407 Minute(s),179308,6 Day(s),1287,3.35
1606,Bode Inc,166 Minute(s),285240,4 Day(s),475,2.68
1607,Lebsack LLC,100 Minute(s),282100,6 Day(s),531,4.17
1608,Lemke LLC,195 Minute(s),74079,6 Day(s),738,4.63
1609,Ullrich Group,332 Minute(s),148548,6 Day(s),1317,4.61
1610,Sanford Group,91 Minute(s),207172,5 Day(s),1003,4.46
1611,Wuckert Group,81 Minute(s),254088,6 Day(s),314,4.89
1612,Streich-Mertz,436 Minute(s),145350,6 Day(s),1341,4.48
1613,Fisher-Feeney,1231 Minute(s),108207,3 Day(s),2479,3.32
1614,Berge-Simonis,738 Minute(s),65545,2 Day(s),1763,4.03
1615,"Doyle, Johnston and Moore",1171 Minute(s),122899,5 Day(s),2008,3.9
